ticker_or,ticker
3690.HK,3690.HK
4689.T,4689.T
6060.HK,6060.HK
8473.T,8473.T
9923.HK,9923.HK
AAPL,AAPL
ACCD,ACCD
ADBE,ADBE
ADPT,ADPT
ADSK,ADSK
ADYEN,ADYEN.AS
AMZN,AMZN
ANSS,ANSS
API,API
AQB,AQB
ARCT UQ,ARCT
AVAV,AVAV
BABA,BABA
BEAM,BEAM
BEKE,BEKE
BIDU,BIDU
BLI,BLI
BYDDY,1211.HK
CAT,CAT
CDNA,CDNA
CDXS,CDXS
CERS,CERS
CGEN,CGEN
CLLS,CLLS
CRSP,CRSP
CRWD,CRWD
CSTL,CSTL
DE,DE
DOCU,DOCU
DOYU,DOYU
DSY,DSY
EDIT,EDIT
ESLT,ESLT
EVGN,EVGN
EXAS,EXAS
FATE,FATE
FB,FB
FLIR,FLIR
FSLY,FSLY
GBTC,GBTC
GH,GH
GOOG,GOOG
GWRE,GWRE
HDB,HDB
HON,HON
HUBS,HUBS
HUYA,HUYA
IBKR,IBKR
ICE,ICE
ILMN,ILMN
INCY,INCY
INTU,INTU
IONS,IONS
IOVA,IOVA
IPOB,IPOB
IRDM,IRDM
ISRG,ISRG
JD,JD
KMTUY,6301.T
KTOS,KTOS
LC,LC
LSPD,LSPD
MCRB,MCRB
MELI,MELI
MKTX,MKTX
MTLS,MTLS
NA,NA
NET,NET
NFLX,NFLX
NIU,NIU
NNDM,NNDM
NSTG,NSTG
NTDOY,7974.T
NTLA,NTLA
NVDA,NVDA
NVS,NVS
NVTA,NVTA
NXPI,NXPI
OKTA,OKTA
ONVO,ONVO
PACB,PACB
PD,PD
PDD,PDD
PHR,PHR
PINS,PINS
PLTR,PLTR
PRLB,PRLB
PSNL,PSNL
PSTG,PSTG
PSTI,PSTI
PYPL,PYPL
RAVN,RAVN
REGN,REGN
ROK,ROK
ROKU,ROKU
RPTX,RPTX
SCHW,SCHW
SDGR,SDGR
SE,SE
SHOP,SHOP
SI,SI
SNAP,SNAP
SNPS,SNPS
SPCE,SPCE
SPLK,SPLK
SPOT,SPOT
SQ,SQ
SSYS,SSYS
SURF,SURF
SYRS,SYRS
TAK UN,4502.T
TCEHY,700.HK
TDOC,TDOC
TEAM,TEAM
TER,TER
TMO,TMO
TREE UW,TREE
TRMB,TRMB
TRU,TRU
TSLA,TSLA
TSM,TSM
TTD,TTD
TWLO,TWLO
TWOU,TWOU
TWST,TWST
TXG,TXG
U,U
VCYT,VCYT
VRSK,VRSK
VRTX,VRTX
WDAY,WDAY
WKHS,WKHS
WORK,WORK
XLNX,XLNX
XONE,XONE
Z,Z
ZM,ZM
ZS,ZS