Ticker,Name
C52.SI,ComfortDelGro Corporation Limited
C61U.SI,CapitaLand Commercial Trust
C38U.SI,CapitaLand Integrated Commercial Trust
H78.SI,Hongkong Land Holdings Limited
J36.SI,Jardine Matheson Holdings Limited
BN4.SI,Keppel Corporation Limited
F34.SI,Wilmar International Limited
M44U.SI,Mapletree Logistics Trust
BS6.SI,Yangzijiang Shipbuilding (Holdings) Ltd.
S68.SI,Singapore Exchange Limited
U96.SI,Sembcorp Industries Ltd
O39.SI,Oversea-Chinese Banking Corporation Limited
V03.SI,Venture Corporation Limited
S58.SI,SATS Ltd.
C6L.SI,Singapore Airlines Limited
U11.SI,United Overseas Bank Limited
A17U.SI,Ascendas Real Estate Investment Trust
S63.SI,Singapore Technologies Engineering Ltd
J37.SI,Jardine Strategic Holdings Limited
G13.SI,Genting Singapore Limited
C07.SI,Jardine Cycle & Carriage Limited
D05.SI,DBS Group Holdings Ltd
C31.SI,CapitaLand Limited
U14.SI,UOL Group Limited
Y92.SI,Thai Beverage Public Company Limited
N2IU.SI,Mapletree Commercial Trust
T39.SI,Singapore Press Holdings Limited
D01.SI,Dairy Farm International Holdings Limited
Z74.SI,Singapore Telecommunications Limited
C09.SI,City Developments Limited